Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Production_(MT),Hybrid_Seeds_Average_Yield_(MT/Ha),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Production(MT),Certified_Seeds_Average_Yield(MT/Ha),Farmer_Seeds_Area_Harvested_(Ha),Farmer_Seeds_Production_(MT),Farmer_Seeds_Average_Yield_(MT/Ha),Total_Area_Harvested(Ha),Total_Production(MT),TotalAverage_Yield(MT/Ha)
5/1/2003,10/27/2003,SanMateo,Dry,Irrigated,4795.54,37615.03,7.84,1148.09,5988.18,5.22,1295.41,2636.73,2.35,5943.63,50000,8.41
5/1/2003,10/27/2003,SanMateo,Dry,Irrigated,4124.5,21656.9,5.25,4124.5,17016.13,4.13,1295.41,2636.73,2.35,8249,38673.03,4.69
5/1/2003,10/27/2003,SanMateo,Wet,Irrigated,4124.5,23726.4,5.75,4124.5,18642.18,4.52,1295.41,2636.73,2.35,8249,42368.58,5.14
5/1/2003,10/27/2003,Alicia,Dry,Irrigated,3033.32,28049.55,3.59,5879.94,18997.69,3.53,433.47,1120.66,2.59,7657.51,20662.96,2.7
5/1/2003,10/27/2003,Alicia,Dry,Rainfed,7622.67,31636.39,3.88,3453.12,22605.8,5.35,1501.15,2467.02,1.64,5533.43,23712.56,4.29
5/1/2003,10/27/2003,Alicia,Wet,Irrigated,4605.8,37914.01,5.3,5001.07,39714.99,4.66,1604.28,3758.34,2.34,5317.61,40787.26,7.67
5/1/2003,10/27/2003,Alicia,Wet,Rainfed,4160.17,22061.75,3.59,4072.26,21931.29,5.98,762.14,1611.89,2.11,7895.4,14494,1.84
5/1/2003,10/27/2003,SanMateo,Dry,Irrigated,6845.62,35186.61,7.88,3568.03,37298.12,3.13,1246.59,3435.74,2.76,5957.01,30248.52,5.08
5/1/2003,10/27/2003,SanMateo,Dry,Rainfed,6905.36,27111.99,3.67,4884.49,33938.98,4.96,2376.4,2503.71,1.05,3592.48,17097.5,4.76
5/1/2003,10/27/2003,SanMateo,Wet,Irrigated,5580.14,46104.6,5.37,5889.24,18320.64,3.92,2475.86,2608.7,1.05,7642.32,53512.77,7
5/1/2003,10/27/2003,SanMateo,Wet,Rainfed,6165.94,29069.9,6.01,4823.62,20396.44,3.46,2259.59,4818.76,2.13,4574.34,27479.35,6.01
4/27/2004,10/29/2004,SanMateo,Dry,Irrigated,4862.53,30035.76,6.18,1716.93,8692.58,5.06,1295.41,2636.73,2.35,6579.46,51500,7.83
4/27/2004,10/29/2004,SanMateo,Dry,Irrigated,4124.5,24722.14,5.99,4124.5,19424.54,4.71,1295.41,2636.73,2.35,8249,44146.68,5.35
4/27/2004,2/28/2020,SanMateo,Wet,Irrigated,4124.5,27084.56,6.57,4124.5,21280.73,5.16,1295.41,2636.73,2.35,8249,48365.29,5.86
5/1/2004,10/27/2004,Alicia,Dry,Irrigated,4083.31,52797.57,7.76,4820.16,29777.83,5.08,2074.02,3906.4,1.88,3852.42,39314.46,10.21
5/1/2004,10/27/2004,Alicia,Dry,Rainfed,4959.5,42248.3,7.03,5998.75,23315.4,4.29,0.99,1.99,2.01,7145.64,13447.36,1.88
5/1/2004,10/27/2004,Alicia,Wet,Irrigated,4245.22,36964.43,4.54,3166.03,29698.27,5.97,1747.64,4898.2,2.8,4268.01,53073.12,12.44
5/1/2004,10/27/2004,Alicia,Wet,Rainfed,3527.97,27656.16,5.03,3745.21,18058.76,5.95,1500.42,3717.6,2.48,6875.36,12290.4,1.79
5/1/2004,10/27/2004,SanMateo,Dry,Irrigated,4402.05,26888.46,7.96,5662.01,21458.68,4.69,2942.35,7862,2.67,3975.65,42390.46,10.66
5/1/2004,10/27/2004,SanMateo,Dry,Rainfed,6335.18,38568.02,3.41,5810.08,18007.98,4.36,2057.27,5260.16,2.56,3945.3,17731.59,4.49
5/1/2004,10/27/2004,SanMateo,Wet,Irrigated,3298.99,42167.52,7.93,5632.75,29120.8,4.41,2553.19,2674.8,1.05,4064.37,31992.02,7.87
5/1/2004,10/27/2004,SanMateo,Wet,Rainfed,3461.94,24495.7,4.46,5178.46,33871.6,5.41,1945.18,2805.86,1.44,7790.52,23599.35,3.03
4/27/2005,10/29/2005,SanMateo,Dry,Irrigated,4233.59,27060.96,6.39,1231.74,7726.47,6.27,1295.41,2636.73,2.35,5465.33,53000,9.7
4/27/2005,10/29/2005,SanMateo,Dry,Irrigated,4124.5,23193.59,5.62,4124.5,18223.53,4.42,1295.41,2636.73,2.35,8249,41417.12,5.02
4/27/2005,10/29/2005,SanMateo,Wet,Irrigated,4124.5,23391.98,5.67,4124.5,18379.42,4.46,1295.41,2636.73,2.35,8249,41771.4,5.06
5/1/2005,10/27/2005,Alicia,Dry,Irrigated,6834.99,53845.97,6.95,3498.62,20907.15,3.04,440.35,1257.96,2.86,6900.38,24090.06,3.49
5/1/2005,10/27/2005,Alicia,Dry,Rainfed,5470.84,28269.18,4.13,4101.22,19632,4.17,1325.29,2299.71,1.74,6831.7,13243.78,1.94
5/1/2005,10/27/2005,Alicia,Wet,Irrigated,7539.66,42653.69,7.12,4949.78,34791.68,4.69,982.62,2106.99,2.14,4510.57,29381.6,6.51
5/1/2005,10/27/2005,Alicia,Wet,Rainfed,7301.4,41271.39,5.15,5094.19,26616.12,4.76,760.05,2057.54,2.71,4682.77,15279.39,3.26
5/1/2005,10/27/2005,SanMateo,Dry,Irrigated,4723.29,21554.62,6.39,3820.74,21029.53,5.96,598.49,975.79,1.63,4938.46,24376.35,4.94
5/1/2005,10/27/2005,SanMateo,Dry,Rainfed,3652.92,31428.07,4.88,4245.5,26881.35,3.42,285.17,430.47,1.51,3577.43,8192.12,2.29
5/1/2005,10/27/2005,SanMateo,Wet,Irrigated,4397.19,46635.3,3.68,5636.47,16507.69,4.78,1609.78,3024.59,1.88,3793.71,41920.36,11.05
5/1/2005,10/27/2005,SanMateo,Wet,Rainfed,6024.3,24317.44,5.4,5656.22,31324.84,5.71,2519.15,3484.87,1.38,3478.63,20857.8,6
4/27/2006,10/29/2006,SanMateo,Dry,Irrigated,2218.46,13511.4,6.09,2726.21,15345.03,5.63,1295.41,2636.73,2.35,4944.66,54500,11.02
4/27/2006,10/29/2006,SanMateo,Dry,Irrigated,4124.5,23716.64,5.75,4124.5,18634.5,4.52,1295.41,2636.73,2.35,8249,42351.14,5.13
4/27/2006,10/29/2006,SanMateo,Wet,Irrigated,4124.5,29645.8,7.19,4124.5,23293.13,5.65,1295.41,2636.73,2.35,8249,52938.92,6.42
5/1/2006,10/27/2006,Alicia,Dry,Irrigated,7623.04,43525.36,3.63,5262.85,33267.82,4.77,1735.55,4724.54,2.72,6330.64,29597.27,4.68
5/1/2006,10/27/2006,Alicia,Dry,Rainfed,5795.62,32806.41,5.6,4456.4,37414.63,5.53,154.54,349.03,2.26,3917.86,20071.66,5.12
5/1/2006,10/27/2006,Alicia,Wet,Irrigated,4570.16,55689.82,6.92,3745.74,29574.03,4.95,2605.17,2783.67,1.07,3939.53,54936.52,13.94
5/1/2006,10/27/2006,Alicia,Wet,Rainfed,3256.44,36790.99,5.22,4999.4,19629.9,5.14,641.99,1907.69,2.97,7282.36,11146.08,1.53
5/1/2006,10/27/2006,SanMateo,Dry,Irrigated,7007.09,38185.77,3.66,4767.34,28145.11,4.84,791.51,1229.47,1.55,3132.76,19268.41,6.15
5/1/2006,10/27/2006,SanMateo,Dry,Rainfed,4390.75,21129.49,7.25,3867.98,23663.21,3.93,2489.11,6718.53,2.7,7377.24,12439.42,1.69
5/1/2006,10/27/2006,SanMateo,Wet,Irrigated,5901.46,34418.94,7.99,4973.13,34291.78,5.83,340.01,563.1,1.66,3362.5,39774.24,11.83
5/1/2006,10/27/2006,SanMateo,Wet,Rainfed,7935.28,20475.71,4.56,4450.44,30470.42,4.07,2666.25,6631.77,2.49,6781.07,13038.42,1.92
4/27/2007,10/29/2007,SanMateo,Dry,Irrigated,1390.69,9249,6.65,2246.6,13518.09,6.02,1295.41,2636.73,2.35,3637.28,56000,15.4
4/27/2007,10/29/2007,SanMateo,Dry,Irrigated,4124.5,24746.3,6,4124.5,19443.52,4.71,1295.41,2636.73,2.35,8249,44189.83,5.36
4/27/2007,10/29/2007,SanMateo,Wet,Irrigated,4124.5,28692.88,6.96,4124.5,22544.41,5.47,1295.41,2636.73,2.35,8249,51237.28,6.21
5/1/2007,10/27/2007,Alicia,Dry,Irrigated,4349.89,48467.5,6.05,3032.37,20265.41,3.93,489.61,630.33,1.29,6063.37,41980.25,6.92
5/1/2007,10/27/2007,Alicia,Dry,Rainfed,5192.91,49250.32,7.7,4941.97,29964.08,4.02,1734,4436.67,2.56,6258.26,20007.3,3.2
5/1/2007,10/27/2007,Alicia,Wet,Irrigated,6268.19,29126.53,4.7,4769.23,22149.31,4.32,1950.39,2695.11,1.38,4793.76,26584.1,5.55
5/1/2007,10/27/2007,Alicia,Wet,Rainfed,4210.01,24101.57,6.89,3548.96,31190.4,3.57,2278.32,2304.39,1.01,6796,10306.86,1.52
