Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Average_Yield_(MT/Ha),Hybrid_Seeds_Production_(MT),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Average_Yield(MT/Ha),Certified_Seeds_Production(MT),Total_Area_Harvested(Ha),TotalAverage_Yield(MT/Ha),Total_Production(MT)
113,2/1/2017,10/28/2017,SanMateo,Wet,Irrigated,1895.396264,7.465371911,14149.83803,2380.330511,6.042857643,14383.99842,4275.726775,6.673447101,28533.83645
114,6/1/2017,5/28/2017,SanMateo,Wet,Rainfed,3194.861237,6.603270511,21096.53299,2423.965937,7.682651789,18622.48624,5618.827174,7.068916342,39719.01923
115,1/1/2017,10/28/2017,Alicia,Wet,Irrigated,3761.579315,5.11793642,19251.52377,4197.641596,6.883701168,28895.31036,7959.22091,6.04918932,48146.83413
116,8/1/2017,11/28/2017,Alicia,Wet,Rainfed,4683.489602,5.18323388,24275.62198,2107.510593,7.418603839,15634.78617,6791.000195,5.876955825,39910.40815
117,1/1/2017,3/28/2017,SanMateo,Dry,Irrigated,1738.084077,5.62804797,9782.020564,2481.888411,6.453568956,16017.038,4219.972489,6.113560843,25799.05857
118,10/1/2017,12/28/2017,SanMateo,Dry,Rainfed,2475.654558,6.387604148,15813.50133,3989.883753,5.110049609,20388.50391,6465.538311,5.59922523,36202.00523
119,8/1/2017,3/28/2017,Alicia,Dry,Irrigated,3853.398344,7.685620513,29615.75735,3046.709768,6.596340456,20097.1349,6900.108112,7.204654108,49712.89226
120,2/1/2017,10/28/2017,Alicia,Dry,Rainfed,2416.586683,6.191491498,14962.2759,1419.476666,7.212215618,10237.57178,3836.063349,6.569194872,25199.84768
121,12/1/2018,10/28/2018,SanMateo,Wet,Irrigated,3255.860368,7.522129958,24491.00481,1356.817315,6.606006692,8963.144262,4612.677683,7.252652662,33454.14907
122,9/1/2018,1/28/2018,SanMateo,Wet,Rainfed,2371.707457,6.421909824,15230.89142,2420.417213,6.946468521,16813.35198,4792.12467,6.686855122,32044.2434
123,2/1/2018,4/28/2018,Alicia,Wet,Irrigated,3148.426167,6.760523354,21285.00863,3981.757897,6.294978639,25065.0809,7130.184064,6.500546006,46350.08954
124,3/1/2018,10/28/2018,Alicia,Wet,Rainfed,2135.103623,6.089246889,13001.1731,3583.668965,6.712334914,24054.78632,5718.772589,6.479705013,37055.95941
125,8/1/2018,11/28/2018,SanMateo,Dry,Irrigated,4946.060995,6.817324458,33718.90259,1948.907167,5.305347418,10339.62961,6894.968162,6.389954408,44058.5322
126,6/1/2018,6/28/2018,SanMateo,Dry,Rainfed,1983.830914,5.48204412,10875.44859,1746.268096,5.855285506,10224.89827,3730.09901,5.656779301,21100.34687
127,8/1/2018,7/28/2018,Alicia,Dry,Irrigated,4369.256141,5.154906434,22523.10659,1072.969926,7.090884387,7608.305694,5442.226067,5.536596958,30131.41229
128,8/1/2018,6/28/2018,Alicia,Dry,Rainfed,2591.422396,7.9084113,20494.03416,4462.028504,7.451216213,33247.53913,7053.4509,7.619188685,53741.57329
129,1/1/2019,8/28/2019,SanMateo,Wet,Irrigated,3891.584386,7.462584419,29041.27701,3873.829083,6.605110196,25587.06798,7765.41347,7.034827598,54628.34499
130,10/1/2019,3/28/2019,SanMateo,Wet,Rainfed,4354.330235,5.61523268,24450.57744,4871.976266,7.132857437,34751.11214,9226.306501,6.416618565,59201.68958
131,4/1/2019,1/28/2019,Alicia,Wet,Irrigated,3944.988735,6.58952007,25995.58244,3828.920383,7.303338504,27963.90166,7773.909117,6.941100454,53959.4841
132,6/1/2019,5/28/2019,Alicia,Wet,Rainfed,3024.415825,7.796043027,23578.47591,2282.568769,6.781649293,15479.58088,5306.984594,7.35974565,39058.05678
133,6/1/2019,2/28/2019,SanMateo,Dry,Irrigated,2817.071889,6.645809354,18721.72271,3195.68792,5.605191387,17912.4424,6012.759808,6.092737159,36634.16511
134,8/1/2019,2/28/2019,SanMateo,Dry,Rainfed,1351.472445,5.41647432,7320.215793,1010.843598,5.350088192,5408.102396,2362.316043,5.388067456,12728.31819
135,8/1/2019,6/28/2019,Alicia,Dry,Irrigated,2647.363657,6.0466048,16007.56179,4718.116577,7.491858223,35347.46048,7365.480234,6.972392925,51355.02227
136,12/1/2019,2/28/2019,Alicia,Dry,Rainfed,1497.188894,7.192602426,10768.68447,4753.361827,5.543699198,26351.20815,6250.550721,5.938659532,37119.89262
137,3/1/2020,1/28/2020,SanMateo,Wet,Irrigated,3964.482597,6.72341934,26654.87897,4367.315107,5.41931713,23667.86557,8331.797704,6.039842339,50322.74454
138,9/1/2020,5/28/2020,SanMateo,Wet,Rainfed,1806.50928,5.490967829,9919.48434,1657.063192,7.443724161,12334.72132,3463.572472,6.425217268,22254.20566
139,11/1/2020,10/28/2020,Alicia,Wet,Irrigated,4631.464522,5.948589747,27550.68237,3353.226703,7.04894619,23636.71459,7984.691225,6.410692101,51187.39696
140,8/1/2020,7/28/2020,Alicia,Wet,Rainfed,3855.129819,7.699002336,29680.65348,3496.406177,6.619343186,23143.9124,7351.535996,7.185514145,52824.56589
141,1/1/2020,9/28/2020,SanMateo,Dry,Irrigated,2421.449807,6.174446331,14951.11188,3127.429919,5.199857337,16262.18941,5548.879726,5.625153694,31213.30129
142,8/1/2020,3/28/2020,SanMateo,Dry,Rainfed,3171.397242,6.294584429,19962.6277,2331.263144,7.19164741,16765.62255,5502.660386,6.674635117,36728.25025
143,10/1/2020,4/28/2020,Alicia,Dry,Irrigated,4176.100757,6.860218268,28648.9627,3133.844368,7.681677749,24073.18255,7309.945125,7.212385914,52722.14525
144,4/1/2020,6/28/2020,Alicia,Dry,Rainfed,4009.61248,7.120941384,28552.21544,4114.287756,5.429383957,22338.04794,8123.900236,6.264264934,50890.26338
145,4/1/2021,6/28/2021,SanMateo,Wet,Irrigated,3856.256329,6.481944461,24996.03935,4018.541167,5.308748092,21333.42276,7874.797496,5.883257586,46329.46211
146,4/1/2021,8/28/2021,SanMateo,Wet,Rainfed,3415.831488,6.506865042,22226.3545,3159.442548,6.459072446,20407.06831,6575.274037,6.48390053,42633.42281
147,4/1/2021,12/28/2021,Alicia,Wet,Irrigated,4087.527922,5.036609217,20587.28081,3393.770805,6.696525042,22726.47118,7481.298727,5.789603325,43313.75199
148,10/1/2021,11/28/2021,Alicia,Wet,Rainfed,3396.117459,7.480396483,25404.3051,4836.299178,6.027572772,29151.14524,8232.416637,6.626905895,54555.45034
149,6/1/2021,8/28/2021,SanMateo,Dry,Irrigated,2694.38745,5.863788849,15799.31908,3459.801053,7.735557227,26763.48903,6154.188502,6.916071567,42562.80812
150,8/1/2021,2/28/2021,SanMateo,Dry,Rainfed,3445.816942,5.054330551,17416.29784,4488.495636,7.796354847,34993.90471,7934.312578,6.605512707,52410.20255
151,4/1/2021,4/28/2021,Alicia,Dry,Irrigated,4160.338548,5.069067814,21089.03823,3605.468844,7.313740006,26369.46172,7765.807392,6.111212596,47458.49996
152,10/1/2021,9/28/2021,Alicia,Dry,Rainfed,2696.522685,7.209332707,19440.12919,4737.468059,7.776705539,36841.89409,7433.990744,7.570903061,56282.02328
153,7/1/2022,1/28/2022,SanMateo,Wet,Irrigated,1452.952183,7.954523597,11557.54243,4355.592346,5.373988044,23406.90119,5808.544529,6.019484475,34964.44362
154,9/1/2022,1/28/2022,SanMateo,Wet,Rainfed,4479.585448,6.556514171,29370.46547,3365.101743,6.197008112,20853.5628,7844.687191,6.402298402,50224.02827
155,9/1/2022,5/28/2022,Alicia,Wet,Irrigated,2340.788967,7.408560346,17341.87632,1018.528092,6.000497515,6111.675285,3359.317059,6.981642754,23453.5516
156,4/1/2022,9/28/2022,Alicia,Wet,Rainfed,4454.072562,7.768880695,34603.15835,2862.800489,6.442510934,18443.62345,7316.873052,7.249925129,53046.7818
157,11/1/2022,1/28/2022,SanMateo,Dry,Irrigated,3348.272897,5.098540011,17071.30333,4650.997852,5.744679328,26718.49121,7999.270748,5.474223329,43789.79454
158,9/1/2022,7/28/2022,SanMateo,Dry,Rainfed,1662.05327,5.101637481,8479.193256,2245.892685,7.341487123,16488.19222,3907.945954,6.38887686,24967.38548
159,11/1/2022,6/28/2022,Alicia,Dry,Irrigated,1880.388856,5.638042353,10601.71201,3060.69473,7.926623947,24260.97614,4941.083586,7.055676664,34862.68815
160,9/1/2022,1/28/2022,Alicia,Dry,Rainfed,3229.221476,7.581896054,24483.62156,3140.278876,5.553388614,17439.18895,6369.500351,6.581805197,41922.81052
