Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Production_(MT),Hybrid_Seeds_Average_Yield_(MT/Ha),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Production(MT),Certified_Seeds_Average_Yield(MT/Ha),Total_Area_Harvested(Ha),Total_Production(MT),TotalAverage_Yield(MT/Ha)
1,5/1/2003,10/28/2003,SanMateo,Dry,Irrigated,4795.5421,37615.0264,7.8437,1148.0893,5988.1845,5.2158,5943.6315,50000,8.4124
2,5/1/2003,10/28/2003,SanMateo,Dry,Irrigated,4124.5,21656.8956,5.2508,4124.5,17016.1322,4.1256,8249,38673.0278,4.6882
3,5/1/2003,10/28/2003,SanMateo,Wet,Irrigated,4124.5,23726.4047,5.7526,4124.5,18642.1751,4.5199,8249,42368.5798,5.1362
4,4/28/2004,10/29/2004,SanMateo,Dry,Irrigated,4862.5281,30035.7634,6.177,1716.9315,8692.5808,5.0629,6579.4596,51500,7.8274
5,4/28/2004,10/29/2004,SanMateo,Dry,Irrigated,4124.5,24722.1397,5.994,4124.5,19424.5383,4.7095,8249,44146.6781,5.3518
6,4/28/2004,10/29/2004,SanMateo,Wet,Irrigated,4124.5,27084.5602,6.5667,4124.5,21280.7259,5.1596,8249,48365.2861,5.8632
7,4/28/2005,10/29/2005,SanMateo,Dry,Irrigated,4233.5894,27060.9583,6.392,1231.7381,7726.4725,6.2728,5465.3275,53000,9.6975
8,4/28/2005,10/29/2005,SanMateo,Dry,Irrigated,4124.5,23193.5868,5.6234,4124.5,18223.5325,4.4184,8249,41417.1193,5.0209
9,4/28/2005,10/29/2005,SanMateo,Wet,Irrigated,4124.5,23391.9835,5.6715,4124.5,18379.4156,4.4562,8249,41771.3991,5.0638
10,4/28/2006,10/29/2006,SanMateo,Dry,Irrigated,2218.4551,13511.3999,6.0905,2726.2069,15345.0331,5.6287,4944.6619,54500,11.022
