Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Average_Yield_(MT/Ha),Hybrid_Seeds_Production_(MT),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Average_Yield(MT/Ha),Certified_Seeds_Production(MT),Total_Area_Harvested(Ha),TotalAverage_Yield(MT/Ha),Total_Production(MT)
1,7/1/2003,4/28/2003,SanMateo,Wet,Irrigated,4802.857226,7.195981825,34561.27331,3394.633937,5.468055921,18562.0482,8197.491162,6.480436569,53123.3215
2,3/1/2003,7/28/2003,SanMateo,Wet,Rainfed,1232.334449,7.598528437,9363.928353,3404.460047,7.124217733,24254.11464,4636.794496,7.250276678,33618.04299
3,6/1/2003,5/28/2003,Alicia,Wet,Irrigated,4879.639409,7.497327922,36584.25679,1849.356443,5.545474902,10255.55974,6728.995851,6.960892466,46839.81653
4,5/1/2003,1/28/2003,Alicia,Wet,Rainfed,2216.968972,6.574269295,14574.95104,2727.780075,5.873687421,16022.12751,4944.749046,6.187791992,30597.07855
5,11/1/2003,10/28/2003,SanMateo,Dry,Irrigated,1186.662653,7.921266557,9399.871186,1931.085362,5.271819304,10180.33309,3117.748015,6.280239513,19580.20427
6,3/1/2003,12/28/2003,SanMateo,Dry,Rainfed,3056.937754,6.777243707,20717.61215,1185.801651,6.822634556,8090.29132,4242.739405,6.789929978,28807.90347
7,5/1/2003,9/28/2003,Alicia,Dry,Irrigated,1260.206372,7.846656612,9888.406661,4862.528132,7.425192044,36105.2052,6122.734504,7.511939613,45993.61186
8,9/1/2003,10/28/2003,Alicia,Dry,Rainfed,1390.688456,7.05269908,9808.107194,2760.609975,5.366114705,14813.74978,4151.298431,5.931121885,24621.85697
9,8/1/2004,3/28/2004,SanMateo,Wet,Irrigated,4637.281608,5.776339945,26786.51499,3650.089137,5.935133228,21663.76533,8287.370746,5.84627885,48450.28032
10,6/1/2004,6/28/2004,SanMateo,Wet,Rainfed,3186.841117,5.554563367,17701.51093,4878.338511,7.32539847,35735.77347,8065.179628,6.625678144,53437.28439
11,2/1/2004,10/28/2004,Alicia,Wet,Irrigated,4579.309402,6.793699936,31110.45399,4687.49694,5.265477506,24681.9097,9266.806342,6.020667923,55792.36369
12,7/1/2004,12/28/2004,Alicia,Wet,Rainfed,1180.909156,5.975990992,7057.102477,2554.709159,5.814047095,14853.19936,3735.618314,5.865241038,21910.30184
13,5/1/2004,8/28/2004,SanMateo,Dry,Irrigated,2427.013307,5.842803529,14180.56191,3170.784333,5.422772675,17194.44264,5597.797639,5.604883665,31375.00455
14,1/1/2004,9/28/2004,SanMateo,Dry,Rainfed,4947.547746,7.316734308,36199.89234,1794.862726,5.016566351,9004.047957,6742.410473,6.70441832,45203.94029
15,11/1/2004,3/28/2004,Alicia,Dry,Irrigated,3827.429375,7.187021504,27507.81723,4085.081387,5.222133955,21332.84222,7912.510762,6.172586795,48840.65945
